Tempo (s),RPM
0.009,0.0
0.019,0.0
0.029,0.0
0.039,0.0
0.049,0.0
0.059,30.0
0.069,30.0
0.079,90.0
0.089,150.0
0.099,210.0
0.109,270.0
0.119,360.0
0.129,420.0
0.139,480.0
0.149,600.0
0.159,630.0
0.169,750.0
0.179,780.0
0.189,870.0
0.199,900.0
0.209,930.0
0.219,990.0
0.229,1050.0
0.239,1050.0
0.249,1080.0
0.259,1110.0
0.269,1110.0
0.279,1140.0
0.289,1110.0
0.3,1140.0
0.309,1140.0
0.319,1140.0
0.329,1110.0
0.339,1140.0
0.349,1140.0
0.359,1110.0
0.369,1080.0
0.379,1110.0
0.389,1080.0
0.399,1110.0
0.409,1080.0
0.419,1080.0
0.429,1050.0
0.439,1080.0
0.449,1050.0
0.459,1050.0
0.47,1050.0
0.479,1020.0
0.489,1020.0
0.499,1020.0
0.509,1050.0
0.519,1020.0
0.529,990.0
0.539,1020.0
0.549,990.0
0.559,990.0
0.569,1020.0
0.579,990.0
0.589,990.0
0.599,990.0
0.609,990.0
0.619,1020.0
0.629,990.0
0.64,990.0
0.649,990.0
0.659,990.0
0.669,990.0
0.679,990.0
0.689,990.0
0.699,990.0
0.709,990.0
0.719,990.0
0.729,990.0
0.739,990.0
0.749,990.0
0.759,990.0
0.769,990.0
0.779,1020.0
0.789,990.0
0.799,990.0
0.809,990.0
0.819,1020.0
0.829,990.0
0.839,990.0
0.849,990.0
0.859,1020.0
0.869,990.0
0.879,1020.0
0.889,990.0
0.899,990.0
0.909,990.0
0.919,1020.0
0.929,990.0
0.94,1020.0
0.949,990.0
0.959,990.0
0.969,1020.0
0.979,990.0
0.989,990.0
0.999,1020.0
1.009,990.0
1.019,1020.0
1.029,990.0
1.039,1020.0
1.049,990.0
1.059,1020.0
1.069,990.0
1.079,990.0
1.089,1020.0
1.099,990.0
1.11,1020.0
1.119,990.0
1.129,990.0
1.139,990.0
1.149,990.0
1.159,1020.0
1.169,990.0
1.179,990.0
1.189,1020.0
1.199,990.0
1.209,990.0
1.219,990.0
1.229,1020.0
1.239,990.0
1.249,990.0
1.259,990.0
1.269,1020.0
1.28,990.0
1.289,990.0
1.299,1020.0
1.309,990.0
1.319,990.0
1.329,990.0
1.339,990.0
1.349,1020.0
1.359,990.0
1.369,1020.0
1.379,990.0
1.389,990.0
1.399,990.0
1.409,990.0
1.419,990.0
1.429,1020.0
1.439,990.0
1.449,990.0
1.459,1020.0
1.469,990.0
1.479,990.0
1.489,990.0
1.499,990.0
1.509,990.0
1.519,1020.0
1.529,990.0
1.539,1020.0
1.549,990.0
1.559,990.0
1.569,990.0
1.58,990.0
1.589,990.0
1.599,1020.0
1.609,990.0
1.619,990.0
1.629,990.0
1.639,1020.0
1.649,990.0
1.659,1020.0
1.669,990.0
1.679,990.0
1.689,1020.0
1.699,990.0
1.709,1020.0
1.719,990.0
1.729,990.0
1.739,990.0
1.75,990.0
1.759,1020.0
1.769,990.0
1.779,1020.0
1.789,990.0
1.799,990.0
1.809,990.0
1.819,1020.0
1.829,990.0
1.839,990.0
1.849,1020.0
1.859,990.0
1.869,1020.0
1.879,990.0
1.889,990.0
1.899,1020.0
1.909,990.0
1.92,990.0
1.929,990.0
1.939,1020.0
1.949,990.0
1.959,1020.0
1.969,990.0
1.979,990.0
1.989,990.0
1.999,1020.0
2.009,990.0
2.019,1020.0
2.029,990.0
2.039,990.0
2.049,1020.0
2.059,990.0
2.069,1020.0
2.079,990.0
2.089,1020.0
2.099,990.0
2.369,1020.0
2.379,990.0
2.39,1020.0
2.399,990.0
2.409,990.0
2.419,990.0
2.429,1020.0
2.439,990.0
2.449,1020.0
2.459,990.0
2.469,990.0
2.479,1020.0
2.489,990.0
2.499,1020.0
2.509,990.0
2.519,990.0
2.529,990.0
2.539,1020.0
2.549,990.0
2.56,1020.0
2.569,990.0
2.579,990.0
2.589,990.0
2.599,1020.0
2.609,990.0
2.619,990.0
2.629,1020.0
2.639,990.0
2.649,990.0
2.659,990.0
2.669,990.0
2.679,990.0
2.689,990.0
2.699,990.0
2.709,1020.0
2.719,990.0
2.729,1020.0
2.739,990.0
2.749,1020.0
2.759,990.0
2.769,1020.0
2.779,990.0
2.789,1020.0
2.799,1020.0
2.809,990.0
2.819,1020.0
2.829,990.0
2.839,1020.0
2.849,990.0
2.86,1020.0
2.869,990.0
2.879,990.0
2.889,990.0
2.899,990.0
2.909,1020.0
2.919,990.0
2.929,990.0
2.939,1020.0
2.949,990.0
2.959,990.0
2.969,1020.0
2.979,1020.0
2.989,990.0
2.999,990.0
3.009,990.0
3.019,1020.0
3.03,990.0
3.039,1020.0
3.049,1020.0
3.059,990.0
3.069,1020.0
3.079,990.0
3.089,1020.0
3.099,990.0
3.109,1020.0
3.119,1020.0
3.129,990.0
3.139,1020.0
3.149,990.0
3.159,1020.0
3.169,990.0
3.179,1020.0
3.189,990.0
3.2,990.0
3.209,990.0
3.219,990.0
3.229,1020.0
3.239,990.0
3.249,990.0
3.259,990.0
3.269,990.0
3.279,1020.0
3.289,990.0
3.299,990.0
3.309,990.0
3.319,990.0
3.329,1020.0
3.339,990.0
3.349,990.0
